,id,text,created_at
73,1236108432337448960,#Health #Happy #Life Oral-B Pro 5000 Smart Series Rechargeable Electric Toothbrush Patient… https://t.co/4pE4Aiq6fo,2020-03-07 01:56:30
74,1236108431238615040,#Health #Happy #Life Waterpik Cordless Advanced Waterflosser White Model WP-560CD https://t.co/FvfS9wWkpj,2020-03-07 01:56:30
75,1236108430148014080,#Health #Happy #Life Smart Electric Toothbrush by Kolibree ~ Bluetooth ~ ISO/Android ~ NEW https://t.co/3iElKSnIKF,2020-03-07 01:56:30
76,1236108428638121989,#Health #Happy #Life NEW The Powerpuff Girls Electric Rechargeable Toothbrush Cartoon… https://t.co/7BVtEz2RZ2,2020-03-07 01:56:29
77,1236108350775050243,"Info ou intox ? 🙃. #massmanipulation 
#corona #coronavirus #media #frenchcriminaltattoo #happy #happyquotes #cool #glasses #stayfocused #staytuned #glassesgirl #popart #pop #detoxyourmind #detox #artistsoninstagram https://t.co/MQkSrp7PEh https://t.co/haMPENLw3m",2020-03-07 01:56:11
78,1236108138119454720,"Happiest of Birthdays No. 14 to My Nephew!

#happy
#birthday
#happybirthday 
#happybirthdaytoyou 
#happybirthdays @ Highway 94west https://t.co/dXVjVONJJb",2020-03-07 01:55:20
79,1236107951968055298,"🚨NEW POST🚨

check out Instagram. Screw this, ordinary sucks, the same old thing sucks. MOVE ONTO THE NEXT!!!!!!

@laugh_aboat_it on Insta

#laughaboutit #laugh #smile #happy #behappy #happiness #trysomethingnew #change #changeitup #LAI https://t.co/q2kowH5awS",2020-03-07 01:54:36
80,1236107765468344320,"@meskPATHAN Happy birthday dear subhan.  May this another give you alot of happiness and success and May God bless you . Always be rise and shine.  So happy for you . 
#happy birthday gem 💎 https://t.co/PIrxJfyY9O",2020-03-07 01:53:51
81,1236107041413840897,"Fairy Tail Laminated Keychains are now available! 😀

https://t.co/uMmvvlie3p

#fairytail #FTAnime #FT #anime #animekeychains #lucyheartfilia #grayfullbuster #erzascarlet #wendymarvel #jerza #lalu #jellalfernandes #laxusdreyar #happy #plue #charle #animemerch #animemerchandise https://t.co/0IJsQoBAul",2020-03-07 01:50:59
82,1236106992328101889,"Ignoring the red flags because you want to see the good in people will cost you later.

#mentalhealthawareness #mentalhealth #positivity #positivevibes #motivation #happy #trust #trustyourself #dontwait #redflags https://t.co/DurPAer6Dz",2020-03-07 01:50:47
83,1236106616182841344,#happy #streetstyle #moda Fashion Women's Soft Leather Evening Bag with Tassel https://t.co/RCvtWAExIX https://t.co/kSIA8AHZqG,2020-03-07 01:49:17
84,1236106404412321793,"Okay, I'm trying this, again! I think I just didn't like the last color. I'm loving this gray, though. #MissLhyiamLhaylaEmmalynXaniXartar #DueMay2020 #happy #LoveWins 🖤 https://t.co/L20mYiApIH",2020-03-07 01:48:27
85,1236106350330925056,"#GoodMorning
Just For You
Must For You
First For You
Nothing To Wish
Nothing 2 Say
Always Be #Happy
Its My Pray
#HaveaNiceDay
#GoodMorningTwitterWorld 
#goodmorningsunshine 
#GoodMorningWorld 
#MorningLive #morningmotivation 
#texting #SaturdayMotivation 
#SaturdayMorning",2020-03-07 01:48:14
86,1236106178096173057,"#Repost @accessonephotography
• • • • • •
Part of a fun stop motion sequence with @ChuckCureau #sanantoniotalent #condraartista #condraartistatalent #chuckcureau #sanantoniospurs #headshots #headshotphotographers #hollywood #portraitphotography #funtimes #happy https://t.co/U6JjSaHbJl",2020-03-07 01:47:33
